date,areaType,areaCode,areaName,newCasesByPublishDate,newDeathsByDeathDate
"2020-10-04",utla,E06000040,Windsor and Maidenhead,38,0
"2020-10-03",utla,E06000040,Windsor and Maidenhead,17,0
"2020-09-19",utla,E09000003,Barnet,11,1
"2020-09-18",utla,E09000003,Barnet,21,0
"2020-09-17",utla,E09000003,Barnet,8,1
"2020-09-16",utla,E09000003,Barnet,9,0
"2020-09-15",utla,E09000003,Barnet,4,0
"2020-02-03",utla,E06000054,Wiltshire,0,
"2020-12-20",utla,E10000032,West Sussex,322,3
"2020-02-02",utla,E06000054,Wiltshire,0,
"2020-12-19",utla,E10000032,West Sussex,295,2
"2020-02-01",utla,E06000054,Wiltshire,0,
"2020-12-18",utla,E10000032,West Sussex,202,1
"2020-01-31",utla,E06000054,Wiltshire,0,
"2020-05-03",utla,E06000038,Reading,16,2
"2020-07-09",utla,E06000009,Blackpool,1,0
"2020-01-30",utla,E06000054,Wiltshire,0,
"2020-05-02",utla,E06000038,Reading,6,4
"2020-07-08",utla,E06000009,Blackpool,1,0
"2020-05-01",utla,E06000038,Reading,14,2
"2020-07-07",utla,E06000009,Blackpool,3,1
"2020-12-17",utla,E10000032,West Sussex,247,5
"2020-04-30",utla,E06000038,Reading,6,1
"2020-07-06",utla,E06000009,Blackpool,0,0
"2020-12-16",utla,E10000032,West Sussex,201,3
"2020-04-29",utla,E06000038,Reading,6,2
"2020-07-05",utla,E06000009,Blackpool,2,2
"2020-12-15",utla,E10000032,West Sussex,130,4
"2020-08-09",utla,E06000007,Warrington,7,0
"2020-08-08",utla,E06000007,Warrington,4,0
"2020-05-11",utla,E06000041,Wokingham,5,1
"2020-03-01",utla,E08000001,Bolton,0,
"2020-05-10",utla,E06000041,Wokingham,5,2
"2020-02-29",utla,E08000001,Bolton,0,
"2020-08-07",utla,E06000007,Warrington,2,1
"2020-05-09",utla,E06000041,Wokingham,1,2
"2020-02-28",utla,E08000001,Bolton,0,
"2020-08-06",utla,E06000007,Warrington,7,0
"2020-05-08",utla,E06000041,Wokingham,6,2
"2020-02-27",utla,E08000001,Bolton,0,
"2020-08-05",utla,E06000007,Warrington,0,0
"2020-02-26",utla,E08000001,Bolton,0,
"2020-05-07",utla,E06000041,Wokingham,0,0
"2020-08-04",utla,E06000007,Warrington,0,0
"2020-04-28",utla,E06000038,Reading,11,0
"2020-05-06",utla,E06000041,Wokingham,4,1
"2020-10-25",utla,E06000052,Cornwall and Isles of Scilly,57,1
"2020-06-16",utla,E08000037,Gateshead,1,1
"2020-08-03",utla,E06000007,Warrington,1,1
"2020-10-24",utla,E06000052,Cornwall and Isles of Scilly,56,1
"2020-04-27",utla,E06000038,Reading,11,1
"2020-08-02",utla,E06000007,Warrington,1,0
"2020-05-05",utla,E06000041,Wokingham,11,0
"2020-04-26",utla,E06000038,Reading,16,2
"2020-08-01",utla,E06000007,Warrington,0,0
"2020-07-31",utla,E06000007,Warrington,1,0
"2020-07-30",utla,E06000007,Warrington,0,0
"2020-07-29",utla,E06000007,Warrington,0,0
"2020-09-12",utla,E08000025,Birmingham,119,0
"2020-12-07",utla,E10000029,Suffolk,90,7
"2020-01-25",utla,E06000011,East Riding of Yorkshire,0,
"2020-07-28",utla,E06000007,Warrington,2,0
"2020-01-24",utla,E06000011,East Riding of Yorkshire,0,
"2020-09-11",utla,E08000025,Birmingham,154,1
"2020-12-06",utla,E10000029,Suffolk,62,5
"2020-05-04",utla,E06000041,Wokingham,9,3
"2020-07-27",utla,E06000007,Warrington,2,0
"2020-01-23",utla,E06000011,East Riding of Yorkshire,0,
"2020-05-03",utla,E06000041,Wokingham,7,0
"2020-12-05",utla,E10000029,Suffolk,98,8
"2020-09-10",utla,E08000025,Birmingham,131,0
"2020-01-22",utla,E06000011,East Riding of Yorkshire,0,
"2020-05-02",utla,E06000041,Wokingham,4,2
"2020-07-26",utla,E06000007,Warrington,2,0
"2020-12-04",utla,E10000029,Suffolk,91,6
"2020-09-09",utla,E08000025,Birmingham,145,0
"2020-07-25",utla,E06000007,Warrington,1,0
"2020-07-24",utla,E06000007,Warrington,1,0
"2020-04-25",utla,E06000038,Reading,8,6
"2020-07-23",utla,E06000007,Warrington,1,0
"2020-09-14",utla,E09000003,Barnet,11,0
"2020-04-24",utla,E06000038,Reading,33,4
"2020-04-23",utla,E06000038,Reading,1,2
"2020-01-29",utla,E06000054,Wiltshire,0,
"2020-04-22",utla,E06000038,Reading,7,2
"2020-01-28",utla,E06000054,Wiltshire,0,
"2020-12-14",utla,E10000032,West Sussex,119,3
"2020-01-27",utla,E06000054,Wiltshire,0,
"2020-07-04",utla,E06000009,Blackpool,2,1
"2020-01-26",utla,E06000054,Wiltshire,0,
"2020-04-21",utla,E06000038,Reading,54,0
"2020-07-03",utla,E06000009,Blackpool,0,0
"2020-01-25",utla,E06000054,Wiltshire,0,
"2020-12-28",utla,E06000005,Darlington,21,
"2020-12-13",utla,E10000032,West Sussex,176,5
"2020-12-27",utla,E06000005,Darlington,20,1
"2020-01-24",utla,E06000054,Wiltshire,0,
"2020-12-26",utla,E06000005,Darlington,46,1
"2020-02-25",utla,E08000001,Bolton,0,
"2020-12-12",utla,E10000032,West Sussex,166,4
"2020-01-23",utla,E06000054,Wiltshire,0,
"2020-02-24",utla,E08000001,Bolton,0,
"2020-12-25",utla,E06000005,Darlington,29,0
"2020-02-23",utla,E08000001,Bolton,0,
"2020-01-22",utla,E06000054,Wiltshire,0,
"2020-12-24",utla,E06000005,Darlington,61,0
"2020-04-20",utla,E06000038,Reading,0,2
"2020-10-27",utla,E09000031,Waltham Forest,79,0
"2020-10-23",utla,E06000052,Cornwall and Isles of Scilly,31,0
"2020-10-26",utla,E09000031,Waltham Forest,47,0
"2020-04-19",utla,E06000038,Reading,45,0
"2020-06-15",utla,E08000037,Gateshead,0,1
"2020-03-02",utla,E10000021,Northamptonshire,0,
"2020-10-25",utla,E09000031,Waltham Forest,48,0
"2020-04-18",utla,E06000038,Reading,0,0
"2020-06-14",utla,E08000037,Gateshead,1,1
"2020-10-24",utla,E09000031,Waltham Forest,69,1
"2020-04-17",utla,E06000038,Reading,17,3
"2020-03-01",utla,E10000021,Northamptonshire,0,
"2020-10-23",utla,E09000031,Waltham Forest,40,1
"2020-02-29",utla,E10000021,Northamptonshire,0,
"2020-06-13",utla,E08000037,Gateshead,0,0
"2020-04-16",utla,E06000038,Reading,0,4
"2020-10-22",utla,E09000031,Waltham Forest,54,0
"2020-02-28",utla,E10000021,Northamptonshire,0,
"2020-06-12",utla,E08000037,Gateshead,2,1
"2020-04-15",utla,E06000038,Reading,0,2
"2020-06-11",utla,E08000037,Gateshead,1,3
"2020-04-14",utla,E06000038,Reading,0,3
"2020-10-21",utla,E09000031,Waltham Forest,87,0
"2020-06-10",utla,E08000037,Gateshead,0,0
"2020-04-13",utla,E06000038,Reading,0,5
"2020-10-20",utla,E09000031,Waltham Forest,31,0
"2020-10-22",utla,E06000052,Cornwall and Isles of Scilly,30,0
"2020-06-09",utla,E08000037,Gateshead,1,0
"2020-10-19",utla,E09000031,Waltham Forest,58,1
"2020-10-21",utla,E06000052,Cornwall and Isles of Scilly,39,0
"2020-01-21",utla,E06000011,East Riding of Yorkshire,0,
"2020-06-08",utla,E08000037,Gateshead,0,0
"2020-04-12",utla,E06000038,Reading,0,2
"2020-10-18",utla,E09000031,Waltham Forest,42,0
"2020-05-01",utla,E06000041,Wokingham,4,2
"2020-04-11",utla,E06000038,Reading,0,2
"2020-10-17",utla,E09000031,Waltham Forest,25,1
"2020-12-03",utla,E10000029,Suffolk,101,5
